# ccx tau_xx tau_yy tau_zz cp
0.187711 -1.17886 -1.13134 -2.11065e-12 -0.118973
0.188667 -1.27198 -1.20643 -3.18422e-12 -0.119646
0.189624 -1.34973 -1.12645 2.60933e-12 -0.120152
0.190582 -1.53485 -1.17829 -1.19842e-12 -0.120757
0.191542 -1.8262 -1.25603 -3.40712e-12 -0.121393
0.192502 -2.29606 -1.49275 -1.00211e-12 -0.122029
0.193464 -2.74759 -1.4509 -5.31154e-12 -0.122804
0.194426 -3.46719 -1.41874 -3.23032e-15 -0.123572
0.195389 -4.26355 -1.39309 -3.45218e-12 -0.125478
0.196354 -4.80167 -1.75616 -1.55262e-13 -0.127655
0.197322 -5.66777 -2.02179 2.1913e-12 -0.130759
0.198293 -6.51886 -2.9661 -1.12185e-12 -0.134187
0.19927 -6.88473 -3.10896 -2.47152e-12 -0.13764
0.200261 -7.38197 -3.26862 -9.94611e-13 -0.141418
0.201262 -7.8538 -3.33378 3.7928e-13 -0.145368
0.20227 -7.86593 -3.15351 1.44583e-12 -0.147389
0.203291 -8.52929 -3.41431 -4.40817e-13 -0.150204
0.20432 -7.61729 -2.78008 -9.61328e-13 -0.152186
0.205355 -8.1862 -3.86677 3.78335e-13 -0.151176
0.206398 -9.11804 -3.51173 -9.6916e-14 -0.153897
0.207445 -7.42271 -4.08479 -2.0814e-13 -0.152581
0.208497 -7.29241 -5.12844 -2.04503e-13 -0.15082
0.209552 -7.75987 -4.89195 -8.05084e-14 -0.150585
0.21061 -6.26397 -5.16844 4.06615e-14 -0.149306
0.21167 -4.77062 -5.72205 -2.48164e-14 -0.148021
0.212733 -2.98208 -6.24465 -5.92288e-14 -0.146975
0.213798 -0.591772 -6.449 -2.08156e-14 -0.145266
0.214865 1.02046 -7.14342 -8.89133e-14 -0.145392
0.215935 2.03858 -7.36437 -1.38105e-13 -0.146983
0.217008 2.71232 -7.63408 -8.09062e-14 -0.147837
0.218083 2.80126 -7.91958 -8.54511e-14 -0.148822
0.219161 2.45824 -7.74661 -9.50996e-15 -0.149103
0.220241 2.1711 -8.01632 1.54743e-13 -0.151276
0.221323 2.02679 -6.55439 -1.36401e-14 -0.151291
0.222408 1.71428 -5.71771 -1.16287e-13 -0.150134
0.223496 1.18206 -5.99533 -1.84414e-13 -0.148181
0.224586 0.456603 -5.65998 -1.87975e-13 -0.146253
0.225679 -0.354129 -5.7664 -2.70044e-13 -0.144205
0.226774 -1.14972 -5.8982 -3.32062e-13 -0.142548
0.227872 -1.77504 -5.74372 -3.09583e-13 -0.140697
0.228972 -2.24688 -5.60886 -2.19109e-13 -0.138371
0.230075 -2.76404 -5.57515 -2.05793e-13 -0.135784
0.23118 -3.48401 -5.61951 -2.45635e-14 -0.133418
0.232288 -4.50865 -5.59694 -6.73934e-14 -0.131165
0.233399 -5.8761 -5.52118 -8.68398e-14 -0.128921
0.234512 -7.38723 -5.32451 -1.36329e-13 -0.126478
0.235628 -8.52686 -4.93668 -2.22678e-13 -0.123623
0.236746 -8.69414 -4.44464 -2.44435e-13 -0.120285
0.237867 -8.81543 -5.06099 -2.381e-13 -0.113843
0.23899 -9.53745 -4.95631 -2.28309e-13 -0.111221
0.240116 -10.5506 -5.62607 -2.80789e-13 -0.110345
0.241245 -11.9958 -6.82258 -2.09681e-13 -0.11244
0.242376 -14.1209 -7.93677 -1.39314e-13 -0.118529
0.24351 -15.7957 -9.10637 -1.93966e-13 -0.128296
0.244647 -16.4611 -9.53837 -2.14223e-13 -0.139199
0.245786 -16.2642 -10.126 -1.71531e-13 -0.151103
0.246928 -14.9037 -9.32679 -1.43539e-13 -0.160965
0.248073 -10.6812 -8.34417 4.62347e-14 -0.168193
0.24922 -5.90992 -7.43332 -8.49915e-14 -0.168501
0.25037 -1.70567 -6.60559 -7.40816e-14 -0.167858
0.251522 1.65363 -5.39077 -7.77563e-14 -0.15931
0.252677 2.5776 -5.26976 -9.3914e-14 -0.153684
0.253835 2.20151 -5.52177 -6.85367e-14 -0.147439
0.254996 -0.0265635 -5.77014 1.05486e-13 -0.144744
0.256159 -3.31824 -5.83801 -6.95436e-16 -0.144591
0.257325 -6.76267 -5.98441 -2.3373e-13 -0.147489
0.258493 -7.98156 -5.77369 -2.51043e-13 -0.152212
0.259665 -7.08713 -5.6769 -1.88872e-13 -0.156021
0.260839 -5.50252 -5.65347 -5.98165e-14 -0.159042
0.262016 -3.79593 -5.47244 -4.22395e-14 -0.165284
0.263195 -0.899939 -5.05679 -1.26944e-13 -0.177401
0.264377 5.31888 -4.78197 -5.85584e-14 -0.195261
0.265562 15.3762 -4.51675 -1.16269e-13 -0.215159
